ID,File,Category,Line,Context,English Text,Bahasa Indonesia,Status,Full Line,Pattern
1,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,43,title,Acquisition of Near-Cloud-Free Satellite Imagery,,Needs Translation,"st.title(""Acquisition of Near-Cloud-Free Satellite Imagery"")","st\.title\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
2,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,112,header,Upload Area of Interest (Shapefile),Unggah Area Minat (Shapefile),Translated,"st.subheader(""Upload Area of Interest (Shapefile)"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
3,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,113,markdown,currently the platform only support shapefile in .zip format,"Saat ini, wahana hanya mendukung shapefile dalam format berkas .zip.",Translated,"st.markdown(""currently the platform only support shapefile in .zip format"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
4,1_Module_1_Generate_Image_Mosaic.py,Labels,117,file_uploader,Upload a zipped shapefile (.zip),Unggah shapefile dalam berkas .zip,Translated,"uploaded_file = st.file_uploader(""Upload a zipped shapefile (.zip)"", type=[""zip""])","st\.file_uploader\s*\(\s*[""\']([^""\']+)[""\']\s*"
5,1_Module_1_Generate_Image_Mosaic.py,Messages,139,error,No .shp file found in the uploaded zip.,Shapefile tidak ditemukan dalam berkas zip yang diunggah.,Translated,"st.error(""No .shp file found in the uploaded zip."")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
6,1_Module_1_Generate_Image_Mosaic.py,Messages,144,success,Shapefile loaded successfully!,Berkas (Shapefile) berhasil dimuat!,Translated,"st.success(""Shapefile loaded successfully!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
7,1_Module_1_Generate_Image_Mosaic.py,Messages,155,success,AOI conversion completed!,Area Minat berhasil diproses!,Translated,"st.success(""AOI conversion completed!"")","st\.success\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
8,1_Module_1_Generate_Image_Mosaic.py,Messages,166,error,Failed to convert AOI to Google Earth Engine format,Gagal memuat Area Minat ke server,Translated,"st.error(""Failed to convert AOI to Google Earth Engine format"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
9,1_Module_1_Generate_Image_Mosaic.py,Messages,168,error,Geometry validation failed,Validasi Geometri gagal.,Translated,"st.error(""Geometry validation failed"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
10,1_Module_1_Generate_Image_Mosaic.py,Messages,172,info,"Make sure your shapefile includes all necessary files (.shp, .shx, .dbf, .prj)","Pastikan Shapefile Anda memuat semua berkas yang diperlukan (.shp, .shx, .dbf, .prj).",Translated,"st.info(""Make sure your shapefile includes all necessary files (.shp, .shx, .dbf, .prj)"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
11,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,178,header,Specify Imagery Search Criteria,Tentukan Kriteria Pencarian Citra,Translated,"st.subheader(""Specify Imagery Search Criteria"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
12,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,198,header,Select Time Period,Pilih Periode Waktu,Translated,"st.subheader(""Select Time Period"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
13,1_Module_1_Generate_Image_Mosaic.py,Labels,211,selectbox,Select Year,Pilih tahun,Translated,"year = st.selectbox(""Select Year"", years, index=years.index(2020))","st\.selectbox\s*\(\s*[""\']([^""\']+)[""\']\s*"
14,1_Module_1_Generate_Image_Mosaic.py,Labels,220,date_input,Start Date:,Tanggal mulai:,Translated,"start_date_dt = st.date_input(""Start Date:"", default_start)","st\.date_input\s*\(\s*[""\']([^""\']+)[""\']\s*"
15,1_Module_1_Generate_Image_Mosaic.py,Labels,221,date_input,End Date:,Tanggal selesai:,Translated,"end_date_dt = st.date_input(""End Date:"", default_end)","st\.date_input\s*\(\s*[""\']([^""\']+)[""\']\s*"
16,1_Module_1_Generate_Image_Mosaic.py,Labels,265,slider,Maximum Scene Cloud Cover (%):,,Needs Translation,"cloud_cover = st.slider(""Maximum Scene Cloud Cover (%):"", 0, 100, 30)","st\.slider\s*\(\s*[""\']([^""\']+)[""\']\s*"
17,1_Module_1_Generate_Image_Mosaic.py,Messages,314,warning,"No images found for the selected criteria, increase cloud cover threshold,  change the date range, or make sure the acquisition date aligned with Landsat Mission Avaliability.",,Needs Translation,"st.warning(""No images found for the selected criteria, increase cloud cover threshold,  change the date range, or make sure the acquisition date aligned with Landsat Mission Avaliability."")","st\.warning\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
18,1_Module_1_Generate_Image_Mosaic.py,Markdown Content,380,markdown,#### Cloud Cover Statistics,,Needs Translation,"st.markdown(""#### Cloud Cover Statistics"")","st\.markdown\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
19,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,392,unknown,Download Scene List as CSV,,Needs Translation,"label=""Download Scene List as CSV"",","label\s*=\s*[""\']([^""\']+)[""\']"
20,1_Module_1_Generate_Image_Mosaic.py,Messages,398,info,No scene data available to display,,Needs Translation,"st.info(""No scene data available to display"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
21,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,399,header,Detailed Statistics,,Needs Translation,"#st.subheader(""Detailed Statistics"") {'bands': ['RED', 'GREEN', 'BLUE'], 'min': 0, 'max': 0.3}","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
22,1_Module_1_Generate_Image_Mosaic.py,Messages,432,info,Upload an AOI and specify search criteria to begin.,Unggah Area Minat dan tentukan kriteria pencarian untuk memulai.,Translated,"st.info(""Upload an AOI and specify search criteria to begin."")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
23,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,437,header,Export Imagery to Google Drive,,Needs Translation,"st.subheader(""Export Imagery to Google Drive"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
24,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,446,unknown,The output will be saved as GeoTIFF (.tif),Hasil akan disimpan dalam format GeoTIFF (.tif),Translated,"help=""The output will be saved as GeoTIFF (.tif)""","help\s*=\s*[""\']([^""\']+)[""\']"
25,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,470,unknown,Example: 32648 (UTM Zone 48N),,Needs Translation,"help=""Example: 32648 (UTM Zone 48N)""","help\s*=\s*[""\']([^""\']+)[""\']"
26,1_Module_1_Generate_Image_Mosaic.py,Messages,556,info,Debugging info:,Informasi Pemecahan Masalah:,Translated,"st.info(""Debugging info:"")","st\.info\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
27,1_Module_1_Generate_Image_Mosaic.py,Titles Headers,562,header,Earth Engine Export Monitor,,Needs Translation,"st.subheader(""Earth Engine Export Monitor"")","st\.subheader\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
28,1_Module_1_Generate_Image_Mosaic.py,Labels,567,button,🔄 Refresh All,,Needs Translation,"if st.button(""🔄 Refresh All""):","st\.button\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
29,1_Module_1_Generate_Image_Mosaic.py,Messages,604,error,Failed to get task status,,Needs Translation,"st.error(""Failed to get task status"")","st\.error\s*\(\s*[""\']([^""\']+)[""\']\s*\)"
30,1_Module_1_Generate_Image_Mosaic.py,Other UI Text,615,unknown,Refresh this task,,Needs Translation,"if st.button(f""🔄"", key=f""refresh_{i}"", help=""Refresh this task""):","help\s*=\s*[""\']([^""\']+)[""\']"
